matchId,matchTime,registered,sides,score,notes
8858165342,2026-06-19T15:54:55.000Z,9,4 : 5,达到阈值 9/8,已按当前积分规则完成入库
8858066078,2026-06-19T14:42:34.000Z,10,5 : 5,完整 10 人内战,已按当前积分规则完成入库
8857963585,2026-06-19T13:27:33.000Z,9,5 : 4,达到阈值 9/8,已按当前积分规则完成入库
8856812963,2026-06-18T15:08:05.000Z,9,4 : 5,达到阈值 9/8,OpenDota 已解析：练习房间 / 模式 -，League ID 19220，玩家库命中 9/10，双方命中 4 : 5。 已达到当前阈值，但不是完整 10 人，建议管理员结合语音/群内记录复核。
8856739821,2026-06-18T14:19:49.000Z,9,5 : 4,达到阈值 9/8,OpenDota 已解析：练习房间 / 模式 -，League ID 19220，玩家库命中 9/10，双方命中 5 : 4。 已达到当前阈值，但不是完整 10 人，建议管理员结合语音/群内记录复核。
8856717974,2026-06-18T14:04:56.000Z,9,5 : 4,达到阈值 9/8,OpenDota 已解析：练习房间 / 模式 -，League ID 19220，玩家库命中 9/10，双方命中 5 : 4。 已达到当前阈值，但不是完整 10 人，建议管理员结合语音/群内记录复核。
8856649934,2026-06-18T13:19:12.000Z,8,4 : 4,达到阈值 8/8,OpenDota 已解析：练习房间 / 模式 -，League ID 19220，玩家库命中 8/10，双方命中 4 : 4。 已达到当前阈值，但不是完整 10 人，建议管理员结合语音/群内记录复核。
8856640872,2026-06-18T13:13:11.000Z,9,5 : 4,达到阈值 9/8,OpenDota 已解析：练习房间 / 模式 -，League ID 19220，玩家库命中 9/10，双方命中 5 : 4。 已达到当前阈值，但不是完整 10 人，建议管理员结合语音/群内记录复核。
8855580890,2026-06-17T14:58:56.000Z,8,5 : 3,达到阈值 8/8,OpenDota 已解析：练习房间 / 模式 -，League ID 19220，玩家库命中 8/10，双方命中 5 : 3。 已达到当前阈值，但不是完整 10 人，建议管理员结合语音/群内记录复核。 两边命中不均衡，可能是玩家库缺 ID 或这不是完整群内战。
8855502897,2026-06-17T14:07:04.000Z,8,4 : 4,达到阈值 8/8,OpenDota 已解析：练习房间 / 模式 -，League ID 19220，玩家库命中 8/10，双方命中 4 : 4。 已达到当前阈值，但不是完整 10 人，建议管理员结合语音/群内记录复核。
8855394304,2026-06-17T12:50:38.000Z,8,4 : 4,达到阈值 8/8,OpenDota 已解析：练习房间 / 模式 -，League ID 19220，玩家库命中 8/10，双方命中 4 : 4。 已达到当前阈值，但不是完整 10 人，建议管理员结合语音/群内记录复核。
